Material,Thickness (mm),Label,Group,Mean,StdDev,Min,Max,X,Y
Air-Background,0,BKG,BKG,0.812,0,0.812,0.812,598.088,240.441
HAAP-Bone Equivalent,N/A,BONE,BONE,0.476,0,0.476,0.476,1143.971,264.912
Flexible 50A,25.4,A1,A,0.706,0,0.706,0.706,1342,88
Flexible 50A,25.4,A2,A,0.702,0,0.702,0.702,1262.697,92.411
Flexible 50A,25.4,A3,A,0.69,0,0.69,0.69,1169.786,90.434
Flexible 50A,25.4,A4,A,0.718,0,0.718,0.718,1347.701,143.809
Flexible 50A,25.4,A5,A,0.708,0,0.708,0.708,1252.813,157.647
Flexible 50A,25.4,A6,A,0.707,0,0.707,0.707,1175.716,165.554
Flexible 50A,25.4,A7,A,0.693,0,0.693,0.693,1335.84,238.697
Flexible 50A,25.4,A8,A,0.716,0,0.716,0.716,1246.882,258.465
Flexible 50A,25.4,A9,A,0.715,0,0.715,0.715,1193.508,254.512
Flexible 50A,27.94,B1,B,0.645,0,0.645,0.645,1082.805,88.458
Flexible 50A,27.94,B2,B,0.641,0,0.641,0.641,978.033,96.365
Flexible 50A,27.94,B3,B,0.652,0,0.652,0.652,895.006,94.388
Flexible 50A,27.94,B4,B,0.653,0,0.653,0.653,1088.735,167.531
Flexible 50A,27.94,B5,B,0.658,0,0.658,0.658,993.848,173.461
Flexible 50A,27.94,B6,B,0.662,0,0.662,0.662,904.89,181.369
Flexible 50A,27.94,B7,B,0.661,0,0.661,0.661,1096.643,242.651
Flexible 50A,27.94,B8,B,0.667,0,0.667,0.667,983.963,250.558
Flexible 50A,27.94,B9,B,0.675,0,0.675,0.675,920.705,250.558
Flexible 50A,30.48,C1,C,0.615,0,0.615,0.615,810.002,96.365
Flexible 50A,30.48,C2,C,0.628,0,0.628,0.628,723.021,106.249
Flexible 50A,30.48,C3,C,0.64,0,0.64,0.64,647.902,110.203
Flexible 50A,30.48,C4,C,0.636,0,0.636,0.636,827.793,179.392
Flexible 50A,30.48,C5,C,0.647,0,0.647,0.647,742.79,179.392
Flexible 50A,30.48,C6,C,0.661,0,0.661,0.661,645.925,179.392
Flexible 50A,30.48,C7,C,0.655,0,0.655,0.655,815.932,260.442
Flexible 50A,30.48,C8,C,0.67,0,0.67,0.67,730.929,262.419
Flexible 50A,30.48,C9,C,0.673,0,0.673,0.673,667.67,260.442
Flexible 50A,33.02,D1,D,0.613,0,0.613,0.613,564.875,110.203
Flexible 50A,33.02,D2,D,0.622,0,0.622,0.622,475.917,120.087
Flexible 50A,33.02,D3,D,0.627,0,0.627,0.627,394.867,124.041
Flexible 50A,33.02,D4,D,0.63,0,0.63,0.63,564.875,179.392
Flexible 50A,33.02,D5,D,0.637,0,0.637,0.637,487.778,187.299
Flexible 50A,33.02,D6,D,0.642,0,0.642,0.642,394.867,201.137
Flexible 50A,33.02,D7,D,0.642,0,0.642,0.642,568.828,256.488
Flexible 50A,33.02,D8,D,0.646,0,0.646,0.646,475.917,256.488
Flexible 50A,33.02,D9,D,0.648,0,0.648,0.648,408.705,282.187
Flexible 50A,35.56,E1,E,0.59,0,0.59,0.59,298.002,122.064
Flexible 50A,35.56,E2,E,0.609,0,0.609,0.609,201.137,127.994
Flexible 50A,35.56,E3,E,0.588,0,0.588,0.588,98.342,124.041
Flexible 50A,35.56,E4,E,0.601,0,0.601,0.601,305.909,193.23
Flexible 50A,35.56,E5,E,0.62,0,0.62,0.62,193.23,205.091
Flexible 50A,35.56,E6,E,0.599,0,0.599,0.599,104.272,205.091
Flexible 50A,35.56,E7,E,0.607,0,0.607,0.607,299.979,250.558
Flexible 50A,35.56,E8,E,0.629,0,0.629,0.629,191.253,254.512
Flexible 50A,35.56,E9,E,0.606,0,0.606,0.606,104.272,274.28
Flexible 50A,38.1,F1,F,0.578,0,0.578,0.578,299.979,363.237
Flexible 50A,38.1,F2,F,0.592,0,0.592,0.592,211.021,363.237
Flexible 50A,38.1,F3,F,0.574,0,0.574,0.574,102.295,361.261
Flexible 50A,38.1,F4,F,0.585,0,0.585,0.585,301.956,469.986
Flexible 50A,38.1,F5,F,0.6,0,0.6,0.6,193.23,448.241
Flexible 50A,38.1,F6,F,0.578,0,0.578,0.578,102.295,491.732
Flexible 50A,38.1,F7,F,0.585,0,0.585,0.585,301.956,535.222
Flexible 50A,38.1,F8,F,0.602,0,0.602,0.602,203.114,533.245
Flexible 50A,38.1,F9,F,0.584,0,0.584,0.584,98.342,551.037
Flexible 50A,40.64,G1,G,0.553,0,0.553,0.553,307.886,626.156
Flexible 50A,40.64,G2,G,0.572,0,0.572,0.572,199.16,636.041
Flexible 50A,40.64,G3,G,0.553,0,0.553,0.553,106.249,626.156
Flexible 50A,40.64,G4,G,0.554,0,0.554,0.554,298.002,703.253
Flexible 50A,40.64,G5,G,0.574,0,0.574,0.574,205.091,713.137
Flexible 50A,40.64,G6,G,0.55,0,0.55,0.55,102.295,723.021
Flexible 50A,40.64,G7,G,0.558,0,0.558,0.558,284.164,784.303
Flexible 50A,40.64,G8,G,0.576,0,0.576,0.576,177.415,788.257
Flexible 50A,40.64,G9,G,0.56,0,0.56,0.56,108.226,798.141
Flexible 50A,43.18,H1,H,0.529,0,0.529,0.529,299.979,893.029
Flexible 50A,43.18,H2,H,0.542,0,0.542,0.542,191.253,889.075
Flexible 50A,43.18,H3,H,0.525,0,0.525,0.525,102.295,908.844
Flexible 50A,43.18,H4,H,0.528,0,0.528,0.528,294.048,978.033
Flexible 50A,43.18,H5,H,0.545,0,0.545,0.545,199.16,976.056
Flexible 50A,43.18,H6,H,0.523,0,0.523,0.523,112.18,985.94
Flexible 50A,43.18,H7,H,0.529,0,0.529,0.529,299.979,1059.083
Flexible 50A,43.18,H8,H,0.545,0,0.545,0.545,189.276,1055.129
Flexible 50A,43.18,H9,H,0.531,0,0.531,0.531,100.319,1068.967
